Timestamp,Operator Name,Action
2026-08-08 16:41:22,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-09 21:54:55,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-09 22:33:54,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-09 22:35:26,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-09 22:37:06,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (10 อีเมลล่าสุด) พบ 10 ฉบับ
2026-08-09 22:41:54,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (10 อีเมลล่าสุด) พบ 10 ฉบับ
2026-08-09 22:45:42,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (10 อีเมลล่าสุด) พบ 10 ฉบับ
2026-08-09 22:49:14,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (10 อีเมลล่าสุด) พบ 10 ฉบับ
2026-08-09 22:56:19,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-09 23:01:51,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-09 23:02:35,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (10 อีเมลล่าสุด) พบ 10 ฉบับ
2026-08-09 23:04:06,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-09 23:26:20,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-10 08:31:56,ทนพ.สุทัศน์ บุญยงค์,เปลี่ยนรหัสผ่านของบัญชี khem
2026-08-10 08:32:08,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-10 08:32:46,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-10 08:34:04,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (1 สัปดาห์ย้อนหลัง) พบ 26 ฉบับ
2026-08-10 08:38:08,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-10 08:38:45,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (10 อีเมลล่าสุด) พบ 10 ฉบับ
2026-08-10 09:32:28,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (1 สัปดาห์ย้อนหลัง) พบ 27 ฉบับ
2026-08-10 09:58:03,ทนพ.สุทัศน์ บุญยงค์,ค้นหาอีเมล (5 อีเมลล่าสุด) พบ 5 ฉบับ
2026-08-10 09:58:12,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลชลบุรี
2026-08-10 09:58:12,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: หน่วยงาน_Mail_131
2026-08-10 09:58:12,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลโนนนารายณ์
2026-08-10 09:58:12,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: หน่วยงาน_Mail_129
2026-08-10 09:58:12,ทนพ.สุทัศน์ บุญยงค์,นำเข้าข้อมูลด่วนสำเร็จ: โรงพยาบาลนาแก
